Series_ID,Series_Name,Year,Period,Label,Value
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M03,2019 Mar,3.6
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M04,2019 Apr,2.4
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M05,2019 May,5
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M06,2019 Jun,3.2
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M07,2019 Jul,2.3
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M08,2019 Aug,1.1
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M09,2019 Sep,1.7
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M10,2019 Oct,2.8
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M11,2019 Nov,3.2
LNU04032230,"Mining, Quarrying, Oil and Gas",2019,M12,2019 Dec,3.8
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M01,2020 Jan,1.9
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M02,2020 Feb,5
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M03,2020 Mar,6.2
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M04,2020 Apr,10.2
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M05,2020 May,8.4
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M06,2020 Jun,17.8
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M07,2020 Jul,15.6
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M08,2020 Aug,12.4
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M09,2020 Sep,14.9
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M10,2020 Oct,13.8
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M11,2020 Nov,19.2
LNU04032230,"Mining, Quarrying, Oil and Gas",2020,M12,2020 Dec,13.1
LNU04032230,"Mining, Quarrying, Oil and Gas",2021,M01,2021 Jan,14.2
LNU04032230,"Mining, Quarrying, Oil and Gas",2021,M02,2021 Feb,19.3
LNU04032230,"Mining, Quarrying, Oil and Gas",2021,M03,2021 Mar,15
LNU04032230,"Mining, Quarrying, Oil and Gas",2021,M04,2021 Apr,14.3
LNU04032230,"Mining, Quarrying, Oil and Gas",2021,M05,2021 May,9.6
LNU04032230,"Mining, Quarrying, Oil and Gas",2021,M06,2021 Jun,10.3
LNU04034236,Educational Services,2018,M01,2018 Jan,3.4
LNU04034236,Educational Services,2018,M02,2018 Feb,2.6
LNU04034236,Educational Services,2018,M03,2018 Mar,2.4
LNU04034236,Educational Services,2018,M04,2018 Apr,2.6
LNU04034236,Educational Services,2018,M05,2018 May,2.5
LNU04034236,Educational Services,2018,M06,2018 Jun,5.8
LNU04034236,Educational Services,2018,M07,2018 Jul,5.9
LNU04034236,Educational Services,2018,M08,2018 Aug,5.9
LNU04034236,Educational Services,2018,M09,2018 Sep,3.4
LNU04034236,Educational Services,2018,M10,2018 Oct,3
LNU04034236,Educational Services,2018,M11,2018 Nov,2.4
LNU04034236,Educational Services,2018,M12,2018 Dec,1.9
LNU04034236,Educational Services,2019,M01,2019 Jan,3.6
LNU04034236,Educational Services,2019,M02,2019 Feb,3.4
LNU04034236,Educational Services,2019,M03,2019 Mar,2.8
LNU04034236,Educational Services,2019,M04,2019 Apr,1.9
LNU04034236,Educational Services,2019,M05,2019 May,3
LNU04034236,Educational Services,2019,M06,2019 Jun,4.9
LNU04034236,Educational Services,2019,M07,2019 Jul,6.5
LNU04034236,Educational Services,2019,M08,2019 Aug,4.5
LNU04034236,Educational Services,2019,M09,2019 Sep,2.6
LNU04034236,Educational Services,2019,M10,2019 Oct,2.5
LNU04034236,Educational Services,2019,M11,2019 Nov,3
LNU04034236,Educational Services,2019,M12,2019 Dec,3.4
LNU04034236,Educational Services,2020,M01,2020 Jan,3.9
LNU04034236,Educational Services,2020,M02,2020 Feb,3.2
LNU04034236,Educational Services,2020,M03,2020 Mar,4.4
LNU04034236,Educational Services,2020,M04,2020 Apr,12.8
LNU04034236,Educational Services,2020,M05,2020 May,12.5
LNU04034236,Educational Services,2020,M06,2020 Jun,14.2
LNU04034236,Educational Services,2020,M07,2020 Jul,13.6
LNU04034236,Educational Services,2020,M08,2020 Aug,10
LNU04034236,Educational Services,2020,M09,2020 Sep,7.6
LNU04034236,Educational Services,2020,M10,2020 Oct,4.4
LNU04034236,Educational Services,2020,M11,2020 Nov,5
LNU04034236,Educational Services,2020,M12,2020 Dec,5.8
LNU04034236,Educational Services,2021,M01,2021 Jan,5.2
LNU04034236,Educational Services,2021,M02,2021 Feb,4.3
LNU04034236,Educational Services,2021,M03,2021 Mar,4.1
LNU04034236,Educational Services,2021,M04,2021 Apr,3.5
LNU04034236,Educational Services,2021,M05,2021 May,4.6
LNU04034236,Educational Services,2021,M06,2021 Jun,6.4
LNU04034211,Real Estate,2018,M01,2018 Jan,2.2
LNU04034211,Real Estate,2018,M02,2018 Feb,2.1
LNU04034211,Real Estate,2018,M03,2018 Mar,2.3
LNU04034211,Real Estate,2018,M04,2018 Apr,2.3
LNU04034211,Real Estate,2018,M05,2018 May,2.1
LNU04034211,Real Estate,2018,M06,2018 Jun,2.4
